PLAYER_CODE,PLAYER_NAME,TOTAL_PENALTIES,AVERAGE_OVERALL_RATING
13428,Slawomir Peszko,1246,69.7391304347826
13436,Krzysztof Pilarz,485,60.8333333333333
13437,Piotr Celeban,999,66.4736842105263
13449,Lukasz Tralka,2385,65.1764705882353
13454,Sebastian Przyrowski,327,60.9285714285714
13471,Radoslaw Cierzniak,498,63.6666666666667
13472,Arkadiusz Malarz,198,64.0
13473,Maciej Mielcarz,409,62.4615384615385
13474,Jaroslaw Bieniuk,530,64.7272727272727
13476,Dawid Kucharski,335,60.5
13477,Tomasz Lisowski,522,62.1875
13480,Grzegorz Wojtkowiak,1363,66.6296296296296
13481,Hubert Wolakiewicz,1055,63.3684210526316
13483,Filip Burkhardt,726,58.25
13486,Marcin Kikut,684,64.1333333333333
13490,Szymon Sawala,720,59.1666666666667
13494,Jakub Szmatula,246,61.9285714285714
13504,Mateusz Zytko,462,58.3333333333333
13513,Pawel Strak,558,59.9090909090909
13515,Lukasz Mierzejewski,699,61.1538461538462
13518,Lukasz Piszczek,1603,77.5185185185185
13533,Piotr Polczak,761,61.1363636363636
13538,Dawid Plizga,1595,64.48
13549,Vejlko Nikitovic,152,59.8
13551,Tomasz Brzyski,1538,63.8214285714286
13554,Mariusz Pawelec,929,61.7272727272727
13557,Dawid Soldecki,424,61.0
13917,Liam Kelly,1487,62.7272727272727
14039,Paul Dixon,1069,66.3333333333333
14100,Alan Mannus,580,63.1923076923077
14487,Roei Dayan,462,65.5714285714286
14521,Maor Melikson,782,71.5833333333333
14533,Gal Alberman,264,71.75
14551,Dekel Keinan,342,65.0
14557,Lior Rafaelov,1468,73.2380952380952
14560,Eden Ben Basat,688,70.7
14593,Eliran Atar,619,69.8888888888889
14642,Yoav Ziv,238,64.25
14658,Vladimir Dvalishvili,1450,66.6086956521739
15361,Jasmin Buric,413,65.3913043478261
15403,Edin Dzeko,2222,80.6451612903226
15425,Veldin Muharemovic,155,54.3333333333333
15456,Josip Barisic,130,59.0
15608,Amir Spahic,345,55.3333333333333
15652,Ivica Dzidic,120,56.0
15661,Davor Landeka,168,54.0
15662,Sulejman Smajic,343,65.0
15732,Ivan Radovanovic,1617,70.2413793103448
15905,Stanley Aborah,300,65.8333333333333
15913,Dimitrija Lazarevski,122,59.0
15938,Jovan Kostovski,492,65.0
16199,Boban Bajkovic,100,67.8
16210,Marko Perovic,227,66.0
16218,Simon Vukcevic,831,76.0
16230,Milan Smiljanic,455,66.7142857142857
16254,Dusan Veskovac,1128,65.1363636363636
16292,Branko Lazarevic,256,63.4285714285714
16300,Gojko Kacar,1687,73.32
16323,Nikola Nikezic,285,62.2
16351,Aleksandar Kolarov,2066,77.8275862068966
16362,Andjelko Djuricic,108,68.0
16368,Savo Pavicevic,86,67.0
16387,Mladen Lazarevic,152,58.3333333333333
16428,Ivan Stevanovic,171,65.0
16475,Nikola Vukcevic,530,72.5
16493,Pavle Ninkov,837,69.3076923076923
16511,Konstantin Vassiljev,1614,67.3913043478261
16636,Mikhail Sivakov,426,61.5
16678,Anton Putsila,1410,68.2962962962963
17233,Zlatko Janjic,938,64.5384615384615
17259,Marnix Kolder,780,64.75
17276,Aloys Nong,1124,67.6666666666667
17296,Claude Gnakpa,262,53.0
17299,Carlos Carmona,1502,68.0454545454546
17312,Anther Yahia,858,69.4375
17319,Kenny Deuchar,302,63.2
17343,David Barron,309,58.0833333333333
17361,Iain Davidson,208,59.625
17391,Andy Jackson,235,62.5
17480,Martin Canning,356,62.6666666666667
17525,Jim McAlister,622,60.3888888888889
17528,Chris Millar,510,61.3157894736842
17568,Gavin Skelton,265,61.6666666666667
17600,Darren McGregor,777,63.5789473684211
17606,Liam Buchanan,284,60.5
17620,Stuart Kettlewell,496,62.375
17703,Jeremy Perbet,2014,70.448275862069
17711,Gareth Wardlaw,142,62.0
17749,Iain Vigurs,1375,64.6666666666667
17761,Jacob Mulenga,938,69.4
17762,Ghislain Gimbert,1426,65.1363636363636
17806,Nassim Akrour,623,66.2222222222222
17836,Angelo,1277,69.5238095238095
17848,Robert Braber,912,64.0
17855,Edouard Duplan,1039,67.8235294117647
17866,Andrew Reid,1898,70.8076923076923
17869,Dusan Kuciak,284,70.8888888888889
17875,Jordan Loties,1272,69.9545454545455
17883,"Emanuel Obiora Odita,19",142,63.6666666666667
17887,Matt Done,1473,59.8888888888889
18164,Mariano Pavone,1609,71.2608695652174
18376,Matias Fritzler,452,66.1111111111111
18384,Diego Valeri,2576,76.0277777777778
18388,"Leandro Gioda,28",164,72.0
18395,Marcos Aguirre,601,66.9090909090909
18483,Pablo Javier Perez,1048,76.5
18500,Maximiliano Pellegrino,596,70.8
18501,Hernan Pellerano,774,69.2222222222222
18506,Mauro Zarate,2722,77.0
18518,Jose Sosa,2905,77.125
18520,Marcos Angeleri,719,73.5384615384615
18521,Jose Maria Basanta,1649,72.15625
18533,Loic Loval-Landre,713,65.2727272727273
18548,Jose Ze Pedro,854,70.25
18549,Tiago Targino,993,70.875
18552,Ferreira de Matos Alonso,508,68.5714285714286
18558,Nicolas Navarro,451,69.1176470588235
18576,Lucas Barrios,1324,76.1052631578947
18590,Cristian Llama,2032,69.7586206896552
18592,Roman Martinez,801,68.6111111111111
18628,Marco Ruben,2450,71.4324324324324
18636,Pablo Barzola,688,64.75
18644,Federico Almerares,283,62.8
18653,Jose Gustavo Sand,1253,68.8125
18664,Christian Fernandez,1256,65.8260869565217
18673,Gustavo Cabral,946,71.75
18705,Jesus Datolo,1559,75.1363636363636
18733,Pablo Barrientos,2695,74.8888888888889
18734,Dario Cvitanich,1390,73.6315789473684
18784,Emiliano Daniel Armenteros,1582,71.2857142857143
18814,Fernando Gago,1344,77.0454545454546
18816,Pablo Martin Ledesma,1343,70.4761904761905
18820,Ezequiel Scarione,1239,71.7058823529412
18823,Matias Silvestre,2240,74.4324324324324
18848,Jonathan Bottinelli,861,71.9523809523809
18853,Claudio Morel,678,69.5555555555556
18859,Mauro Boselli,1957,72.1071428571429
18880,Nicolas Federico Spolli,1389,75.6
18904,David Abraham,1643,73.0689655172414
18913,Juan Eduardo Eluchans,1743,67.0869565217391
18923,Carlos Matheu,524,68.1111111111111
